"LANGUAGE","Čeština"
"ZMD_NAME","Zoning Adjuster"
"ZMD_DESC","Umožňuje zarovnat zónování silnic o šířce 8 a 24 metrů se silnicemi běžné šířky a přidává možnost posunout počáteční pozice zónování podél silnic."
"ZMD_PNL_DIS","Vypnout zóny"
"ZMD_PNL_FOR","Vynutit zóny"
"ZMD_PNL_DIS_TIP","Zakázat tvorbu zón při stavbě silnic (zóna může být přidána pomocí nástroje Zoning Adjuster)"
"ZMD_PNL_POZ","Upřednostnit starší silnice"
"ZMD_PNL_POZ_TIP","Zóny připojené k novějším silnicím nepřepíšou zóny připojené ke starším silnicím"
"ZMD_PNL_PNZ","Upřednostnit novější silnice"
"ZMD_PNL_PNZ_TIP","Zóny připojené ke starším silnicím nebudou přepsat zóny připojené k novějším silnicím"
"ZMD_PNL_PVZ","Žádná priorita"
"ZMD_PNL_PVZ_TIP","Výchozí herní chování"
"ZMD_PNL_SBK","Posun zóny"
"ZMD_PNL_SBK_TIP","Přidá mezeru mezi hranou silnice a mřížkou zón"
"ZMD_PNL_DEP","Hloubka zón"
"ZMD_PNL_DEP_TIP","Nastaví maximální hloubku zón (mimo silnici) v buňkách"
"ZMD_OPT_KEY","Modifikační klávesa"
"ZMD_OPT_ZOK","Modifikační klávesa pro odsazení zón"
"ZMD_OPT_SHO","Volby viditelnosti panelu"
"ZMD_OPT_SOR","Automaticky zobrazit nastavení zón při otevření nabídky silnic"
"ZMD_OPT_SPB","Zobrazit staré tlačítko panelu"
"ZMD_OPT_POS","Umístění panelu a tlačítka"
"ZMD_OPT_RPP","Resetovat pozici panelu"
"ZMD_OPT_RBP","Resetovat pozici tlačítka"
"ZMD_SHIFT","Shift"
"ZMD_CTRL","Ctrl"
"ZMD_ALT","Alt"
"KEY_KEY","Zkratka pro Zoning tool"
"ZMD_ERR_CON1","Tyto mody musí být odstraněny před tím, než bude možné pracovat se Zoning Adjuster."
"ZMD_100_0","Nový nástroj pro přidávání, obnovování a odebírání zón pro jakoukoli silnici"
"ZMD_100_1","Možnost nástroje Zoning tool: variabilní odstup od silnice"
"ZMD_100_2","Možnost nástroje Zoning tool: upřednostnit zónování podle stáří silnice (aby zónování nových silnic nenarušilo zónování stávajících silnic)"
"ZMD_102_0","Přidat možnost upřednostnit zóny novějších silnic"
"ZMD_110_0","Každý nově vytvořený blok zóny si nyní pamatuje nastavení priority, se kterým byl vytvořen (tj. upřednostnění novějších nebo starších silnic) a zachová si tuto prioritu bez ohledu na změny nastavení"
"ZMD_110_1","POZNÁMKA 1: toto platí pouze pro nově vytvořené bloky zón"
"ZMD_110_2","POZNÁMKA 2: konfliktní nastavení (např. novější silnice upřednostňující starší nastavení vedle starší silnice upřednostňující novější nastavení) povede k nekonzistentním výsledkům"
"ZMD_111_0","Tlačítko nástroje je nyní přemístitelné (podržením a přetažením přesunete)"
"ZMD_111_1","Pozice tlačítek a panelů jsou uloženy při ukončení hry"
"ZMD_120_0","Přidat možnost zobrazit/skrýt panel nastavení ve výchozím nastavení, když je viditelná nabídka silnic"
"ZMD_120_1","Přidání možnosti ""zakázat zónování"" pro vypnutí veškerého automatického zónování (zónování lze stále aplikovat ručně pomocí nástroje Zoning Adjuster)"
"ZMD_120_2","Přidat možnost ""vynucení zóny"" a přidat zóny na silnicích bez zón (např. dálnice)"
"ZMD_120_3","Přidat možnost přepnout jednostrannou zónu (podržte klávesu Alt při kliknutí pomocí nástroje Zoning Adjuster)"
"ZMD_120_4","Povolit negativní zónu (posunout zónu blíže k silnici)"
"ZMD_120_5","Přidat zkratku nástroje pro zóny (výchozí Alt-Z)"
"ZMD_130_0","Přidat nastavitelnou hloubku zóny"
"ZMD_140_0","Přidat možnost pro vypnutí tlačítka panelu (tlačítko Unified UI je vždy k dispozici)"
"ZMD_155_0","Kompatibilní s verzí 1.15 (Plazas & Promenades)"
"ZMD_160_0","MAJOR CHANGE: attach zoning settings directly to road segments (made possible by recent game updates)"
"ZMD_160_1","Improve handling of zoning overlaps between roads where one has a priority setting and the other does not"
