"LANGUAGE","Português brasileiro"
"ZMD_NAME","Ajustador de Zoneamento"
"ZMD_DESC","Permite que o zoneamento de estradas de 8 e 24 metros de largura se alinhe com estradas de largura regular e adiciona a capacidade de compensar as posições iniciais de zoneamento ao longo das estradas."
"ZMD_PNL_DIS","Desativar zoneamento"
"ZMD_PNL_FOR","Forçar zoneamento"
"ZMD_PNL_DIS_TIP","Desativar toda a criação de zonas ao construir estradas (o zoneamento ainda pode ser adicionado usando a ferramenta Ajustador de Zoneamento)"
"ZMD_PNL_POZ","Priorize estradas mais antigas"
"ZMD_PNL_POZ_TIP","O zoneamento anexado a estradas mais recentes não substituirá o zoneamento anexado a estradas mais antigas"
"ZMD_PNL_PNZ","Priorize estradas mais novas"
"ZMD_PNL_PNZ_TIP","O zoneamento anexado a estradas mais antigas não substituirá o zoneamento anexado a estradas mais recentes"
"ZMD_PNL_PVZ","Sem prioridade"
"ZMD_PNL_PVZ_TIP","Comportamento padrão do jogo"
"ZMD_PNL_SBK","Retardo de zoneamento"
"ZMD_PNL_SBK_TIP","Adiciona uma lacuna entre a borda da estrada e a grade de zoneamento"
"ZMD_PNL_DEP","Profundidade de zoneamento"
"ZMD_PNL_DEP_TIP","Define a profundidade máxima das zonas (longe da estrada) nas células"
"ZMD_OPT_KEY","Modificar chave"
"ZMD_OPT_ZOK","Tecla modificadora de deslocamento de zoneamento"
"ZMD_OPT_SHO","Opções de visibilidade do painel"
"ZMD_OPT_SOR","Mostrar automaticamente o painel de configurações de zoneamento quando o menu de estradas estiver aberto"
"ZMD_OPT_SPB","Mostrar botão do painel legado"
"ZMD_OPT_POS","Localização de painéis e botões"
"ZMD_OPT_RPP","Redefinir a posição do painel"
"ZMD_OPT_RBP","Redefinir posição do botão"
"ZMD_SHIFT","Shift"
"ZMD_CTRL","Control"
"ZMD_ALT","Alt"
"TRN_CHOICE","Definir idioma"
"LANGUAGE_GAME","Usar o idioma do sistema"
"KEY_KEY","Tecla de atalho da ferramenta de zoneamento"
"PRESS_ANY_KEY","Pressione qualquer tecla"
"NOTE_CLOSE","Fechar"
"NOTE_DONTSHOWAGAIN","Don't show again"
"MES_PAGE","Por favor, consulte a página Steam Workshop do mod para mais informações."
"ZMD_ERR_FAT","Isto significa que o mod não é capaz de operar e foi desligado."
"ZMD_ERR_HAR","O ajustador de zoneamento não conseguiu completar os patches necessários do Harmony."
"ERR_HAR0","Erro de patch do Harmony"
"ERR_HAR1","As possíveis causas desse problema incluem:"
"ERR_HAR2","A dependência necessária do mod Harmony 2 não foi instalada"
"ERR_HAR3","Um mod desatualizado e/ou quebrado está impedindo que o Harmony 2 funcione corretamente"
"ERR_CON0","Conflito entre mods detectado!"
"ERR_CON1","Os mods conflitantes são:"
"ZMD_ERR_CON0","O Ajustador de Zoneamento detectou um conflito com pelo menos um outro mod."
"ZMD_ERR_CON1","Estes mods devem ser removidos antes que o Ajustador de Zoneamento possa operar."
"ZMD_100_0","Nova ferramenta de zoneamento para adicionar, redefinir e remover o zoneamento de qualquer estrada"
"ZMD_100_1","Opção de ferramenta de zoneamento: recuo de zoneamento variável da estrada"
"ZMD_100_2","Opção de ferramenta de zoneamento: priorize o zoneamento por idade da estrada (para que o zoneamento de novas estradas não interrompa o zoneamento ligado às estradas existentes)"
"ZMD_102_0","Adicionar opção para priorizar o zoneamento de estradas mais recentes"
"ZMD_110_0","Cada bloco de zona recém-criado agora se lembra das configurações de prioridade com que foi criado (ou seja, priorizando estradas mais novas ou mais antigas) e manterá essa prioridade independentemente de qualquer mudança de configuração"
"ZMD_110_1","NOTA 1: isso se aplica apenas a blocos de zona recém-criados"
"ZMD_110_2","NOTA 2: configurações conflitantes (por exemplo, uma estrada mais nova priorizando configurações mais antigas ao lado de uma estrada mais antiga priorizando configurações mais recentes) levará a resultados inconsistentes"
"ZMD_111_0","O botão da ferramenta agora é móvel (clique e arraste para mover)"
"ZMD_111_1","As posições do botão e do painel são salvas ao sair do jogo"
"ZMD_120_0","Adicionar opção para mostrar/ocultar o painel de configurações por padrão quando o menu da estrada estiver visível"
"ZMD_120_1","Adicione a opção 'desabilitar o zoneamento' para desativar todo o zoneamento automático (o zoneamento ainda pode ser aplicado manualmente usando a ferramenta Ajustador de Zoneamento)"
"ZMD_120_2","Adicione a opção 'forçar zoneamento' para adicionar zoneamento na construção de estradas sem zoneamento ativado (por exemplo, rodovias)"
"ZMD_120_3","Adicionar opção para alternar o zoneamento de um lado (mantenha pressionada a tecla Alt ao clicar com a ferramenta Ajustador de Zoneamento)"
"ZMD_120_4","Permitir revés negativo de zoneamento (mover o zoneamento para mais perto da estrada)"
"ZMD_120_5","Adicionar tecla de atalho da ferramenta de zoneamento (padrão Alt-Z)"
"ZMD_130_0","Adicione profundidade de zona ajustável"
"ZMD_140_0","Adicionar opção para desativar o botão do painel (o botão Unified UI está sempre disponível)"
